Date,Time,Global_active_power,Global_reactive_power,Voltage,Global_intensity,Sub_metering_1,Sub_metering_2,Sub_metering_3
1/1/2007,00:04:00,2.554,0.100,241.980,10.400,0.000,0.000,0.0
1/1/2007,00:05:00,2.550,0.100,241.830,10.400,0.000,0.000,0.0
1/1/2007,00:06:00,2.534,0.096,241.070,10.400,0.000,0.000,0.0
1/1/2007,00:07:00,2.484,0.000,241.290,10.200,0.000,0.000,0.0
1/1/2007,00:08:00,2.468,0.000,241.230,10.200,0.000,0.000,0.0
1/1/2007,00:09:00,2.486,0.000,242.180,10.200,0.000,0.000,0.0
1/1/2007,00:10:00,2.492,0.000,242.460,10.200,0.000,0.000,0.0
1/1/2007,00:11:00,2.500,0.000,242.880,10.200,0.000,0.000,0.0
1/1/2007,00:12:00,2.494,0.000,242.570,10.200,0.000,0.000,0.0
1/1/2007,00:13:00,2.492,0.000,242.410,10.200,0.000,0.000,0.0
1/1/2007,00:14:00,2.480,0.000,241.810,10.200,0.000,0.000,0.0
1/1/2007,00:15:00,2.478,0.000,241.730,10.200,0.000,0.000,0.0
1/1/2007,00:16:00,2.470,0.000,241.290,10.200,0.000,0.000,0.0
1/1/2007,00:17:00,2.466,0.000,241.110,10.200,0.000,0.000,0.0
1/1/2007,00:18:00,2.456,0.000,240.590,10.200,0.000,0.000,0.0
1/1/2007,00:19:00,2.460,0.000,240.830,10.200,0.000,0.000,0.0
1/1/2007,00:20:00,2.544,0.092,240.900,10.600,0.000,0.000,0.0
1/1/2007,00:21:00,2.550,0.116,241.150,10.400,0.000,1.000,0.0
1/1/2007,00:22:00,2.554,0.118,241.550,10.600,0.000,1.000,0.0
1/1/2007,00:23:00,2.650,0.218,241.670,11.000,0.000,2.000,0.0
1/1/2007,00:24:00,2.682,0.258,242.450,11.000,0.000,1.000,0.0
1/1/2007,00:25:00,2.660,0.252,241.600,11.000,0.000,1.000,0.0
1/1/2007,00:26:00,2.650,0.250,241.140,11.000,0.000,2.000,0.0
1/1/2007,00:27:00,2.654,0.250,241.380,11.000,0.000,1.000,0.0
1/1/2007,00:28:00,2.642,0.248,240.900,11.000,0.000,2.000,0.0
1/1/2007,00:29:00,2.644,0.250,241.150,11.000,0.000,1.000,0.0
1/1/2007,00:30:00,2.648,0.252,241.320,11.000,0.000,1.000,0.0
1/1/2007,00:31:00,2.646,0.252,241.350,11.000,0.000,2.000,0.0
1/1/2007,00:32:00,2.644,0.252,241.380,11.000,0.000,1.000,0.0
1/1/2007,00:33:00,2.656,0.256,242.030,11.000,0.000,1.000,0.0
1/1/2007,00:34:00,2.650,0.254,241.860,11.000,0.000,2.000,0.0
